Song,Album,Genres,Year,Rank
Someday,The Long Road,"['post-grunge', 'alternative metal', 'canadian rock']",2004,17
Naughty Girl,Dangerously In Love,"['pop', 'r&b']",2004,18
My Immortal,Fallen,['alternative metal'],2004,19
Sunshine (feat. Lea),U Gotta Feel Me,"['crunk', 'dirty south rap']",2004,20
Dirt Off Your Shoulder,The Black Album,"['gangster rap', 'east coast hip hop', 'rap', 'hip hop', 'pop rap']",2004,21
Move Ya Body,Nina Sky,['hip pop'],2004,22
Dip It Low,Dip It Low,"['hip pop', 'dance pop', 'urban contemporary', 'post-teen pop', 'r&b']",2004,23
My Boo - In the Style of Usher & Alicia Keys (Karaoke Version Teaching Vocal),Karaoke - R&B/Hip-Hop December 2004,['karaoke'],2004,24
One Call Away,Jackpot,"['hip pop', 'southern hip hop', 'crunk', 'movie tunes', 'dirty south rap', 'pop rap', 'r&b']",2004,25
"Me, Myself and I",Dangerously In Love,"['pop', 'r&b']",2004,26
Turn Me On,Kevin Lyttle (US Domestic Release),"['soca', 'vincy soca']",2004,27
The First Cut Is The Deepest,The First Cut Is The Deepest,"['lilith', 'permanent wave', 'singer-songwriter', 'new wave pop', 'pop rock']",2004,28
You Don't Know My Name,The Diary Of Alicia Keys,"['neo soul', 'pop', 'r&b']",2004,29
My Place,Suit,"['gangster rap', 'dance pop', 'new jack swing', 'urban contemporary', 'st louis rap', 'rap', 'contemporary r&b', 'hip hop', 'pop rap', 'r&b']",2004,30
Overnight Celebrity,Kamikaze,"['chicago rap', 'trap', 'gangster rap', 'dirty south rap']",2004,31
Hotel (feat. R.Kelly),"R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake","['gangster rap', 'hip pop', 'southern hip hop', 'battle rap', 'hardcore hip hop', 'philly rap', 'trap']",2004,32
Numb,Meteora,"['nu metal', 'post-grunge', 'alternative metal', 'rock', 'rap metal']",2004,33
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),The Diary Of Alicia Keys,"['deep talent show', 'new jack swing', 'urban contemporary', 'pop', 'contemporary r&b', 'neo soul', 'r&b']",2004,34
She Will Be Loved - Radio Mix,Songs About Jane: 10th Anniversary Edition,['pop'],2004,35
White Flag,Life For Rent,"['dance pop', 'neo mellow', 'lilith', 'europop', 'pop rock']",2004,36
It's My Life,The Singles Collection,"['dance pop', 'permanent wave', 'dance rock', 'rock', 'pop rock']",2004,38
Pieces Of Me,Autobiography,"['post-teen pop', 'dance pop']",2004,39
Leave (Get Out),JoJo,"['post-teen pop', 'dance pop', 'pop']",2004,40
Milkshake - Radio Mix,Tasty,"['hip pop', 'dance pop', 'neo soul', 'urban contemporary']",2004,41
Splash Waterfalls,Chicken - N - Beer,"['southern hip hop', 'dance pop', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'atl hip hop', 'hip hop', 'pop rap']",2004,42
Jesus Walks,The College Dropout,"['chicago rap', 'hip hop', 'rap']",2004,43
Locked Up,Trouble,['dance pop'],2004,44
Stand Up,Chicken - N - Beer,"['southern hip hop', 'dance pop', 'hip pop', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'chicago rap', 'atl hip hop', 'hip hop', 'pop rap']",2004,45
Suga Suga,Tha Smokin' Nephew,"['southern hip hop', 'hip pop', 'latin hip hop', 'texas latin rap', 'urban contemporary', 'chicano rap', 'pop rap']",2004,46
All Falls Down,The College Dropout,"['urban contemporary', 'rap', 'chicago rap', 'contemporary r&b', 'hip hop', 'neo soul', 'r&b']",2004,47
Toxic,In The Zone,"['dance pop', 'pop']",2004,48
Salt Shaker,Me & My Brother,"['southern hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'atl hip hop', 'atlanta bass']",2004,49
With You,In This Skin (Deluxe Edition),"['post-teen pop', 'dance pop']",2004,50
Meant to Live,The Beautiful Letdown (Deluxe Version),"['christian alternative rock', 'christian music', 'ccm', 'worship']",2004,51
I Like That,It's Already Written,"['gangster rap', 'hip pop', 'southern hip hop', 'crunk', 'hardcore hip hop', 'rap', 'dirty south rap', 'west coast rap', 'g funk', 'atl hip hop', 'pop rap', 'hip hop', 'r&b']",2004,52
Sorry 2004,Soulful,"['contemporary r&b', 'r&b', 'gospel r&b']",2004,53
My Happy Ending,Under My Skin,"['candy pop', 'pop', 'canadian pop']",2004,54
On Fire,The Hunger For More,"['gangster rap', 'queens hip hop', 'hardcore hip hop', 'rap', 'trap', 'hip hop', 'pop rap']",2004,55
Roses,Speakerboxxx/The Love Below,"['southern hip hop', 'rap', 'dirty south rap', 'old school atlanta hip hop', 'atl hip hop', 'hip hop']",2004,56
Walked Outta Heaven,Hard,"['atl hip hop', 'contemporary r&b', 'urban contemporary', 'r&b']",2004,57
Lose My Breath,Destiny Fulfilled,"['dance pop', 'urban contemporary', 'girl group', 'pop', 'r&b']",2004,58
My Band,D-12 World,"['gangster rap', 'hip hop', 'detroit hip hop']",2004,59
I'm Still in Love with You (feat. Sasha),Dutty Rock (20th Anniversary),"['dance pop', 'dancehall', 'pop', 'pop rap', 'dancehall queen']",2004,60
Through The Wire,The College Dropout,"['chicago rap', 'hip hop', 'rap']",2004,61
Why,Kiss Of Death,"['battle rap', 'new jack swing', 'urban contemporary', 'east coast hip hop', 'hardcore hip hop', 'trap', 'contemporary r&b', 'neo soul', 'r&b']",2004,62
Read Your Mind,Private Room,"['contemporary r&b', 'urban contemporary', 'r&b']",2004,64
Game Over,U Gotta Feel Me,"['crunk', 'dirty south rap']",2004,65
One Thing,Finger Eleven,"['nu metal', 'canadian rock', 'post-grunge', 'alternative metal', 'funk metal']",2004,66
Headsprung,THE DEFinition,"['queens hip hop', 'east coast hip hop', 'rap', 'golden age hip hop', 'old school hip hop', 'hip hop']",2004,67
Damn! (feat. Lil' Jon) - Club Mix,Drankin' Patnaz,"['southern hip hop', 'dance pop', 'crunk', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'atl hip hop', 'pop rap']",2004,68
Baby Boy (feat. Sean Paul),Dangerously In Love,"['dance pop', 'dancehall', 'pop', 'pop rap', 'r&b']",2004,69
Get Low featuring Ying Yang Twins,Crunkest Hits (Clean),"['southern hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'atl hip hop', 'atlanta bass']",2004,70
Drop It Like It's Hot,R&G (Rhythm & Gangsta): The Masterpiece,"['gangster rap', 'dance pop', 'rap', 'west coast rap', 'pop', 'g funk', 'hip hop', 'pop rap']",2004,71
U Should've Known Better,After The Storm,"['hip pop', 'contemporary r&b', 'urban contemporary', 'r&b']",2004,72
On the Way Down,Take It All Away (U.S. Version),"['idol', 'neo mellow']",2004,73
Breakaway,Breakaway,"['talent show', 'dance pop', 'pop']",2004,74
Why Don't You & I (feat. Chad Kroeger),Shaman,"['classic rock', 'blues rock', 'mexican classic rock']",2004,75
Are You Gonna Be My Girl,Get Born,"['pop rock', 'modern rock', 'garage rock']",2004,76
100 Years,The Battle for Everything,"['neo mellow', 'pop rock', 'piano rock']",2004,77
Breaking the Habit,Meteora,"['nu metal', 'post-grunge', 'alternative metal', 'rock', 'rap metal']",2004,79
Live Like You Were Dying,Live Like You Were Dying,"['contemporary country', 'country road', 'country']",2004,81
Remember When,34 Number Ones,['country'],2004,82
Everytime,In The Zone,"['dance pop', 'pop']",2004,83
Southside,Southside,"['southern hip hop', 'dance pop', 'hip pop', 'urban contemporary', 'trap', 'r&b']",2004,84
Dude,Back To Basics,"['dancehall', 'jamaican dancehall', 'soca', 'reggae fusion', 'dancehall queen']",2004,85
Wanna Get To Know You,Beg For Mercy,"['gangster rap', 'southern hip hop', 'nyc rap', 'urban contemporary', 'queens hip hop', 'hardcore hip hop', 'rap', 'contemporary r&b', 'hip hop', 'pop rap', 'r&b']",2004,86
Holidae In,Jackpot,"['gangster rap', 'hip pop', 'southern hip hop', 'dance pop', 'crunk', 'rap', 'dirty south rap', 'trap', 'west coast rap', 'old school atlanta hip hop', 'g funk', 'atl hip hop', 'pop rap', 'hip hop', 'r&b']",2004,87
Let's Get It Started (Radio Version),The Karaoke Channel - Sing Let's Get It Started (Radio Version) Like Black Eyed Peas,['karaoke'],2004,88
When the Sun Goes Down (In the Style of Kenny Chesney & Uncle Kracker) [Karaoke Version],"Karaoke Hits from 2004, Vol. 20",['karaoke'],2004,89
American Soldier,Shock 'N Y'all,"['contemporary country', 'classic oklahoma country', 'country', 'country road']",2004,90
Change Clothes,The Black Album,"['gangster rap', 'east coast hip hop', 'rap', 'hip hop', 'pop rap']",2004,91
You’ll Think Of Me,Golden Road,"['australian pop', 'country road', 'contemporary country', 'australian country', 'country']",2004,93
Over And Over,Suit,"['gangster rap', 'dance pop', 'country road', 'urban contemporary', 'st louis rap', 'rap', 'contemporary country', 'country', 'hip hop', 'pop rap']",2004,96
Redneck Woman,Here For The Party,"['country dawn', 'contemporary country', 'country road', 'country']",2004,97
Just Lose It,Encore (Deluxe Version),"['hip hop', 'rap', 'detroit hip hop']",2004,98
Letters from Home,Letters From Home,"['contemporary country', 'country road', 'country']",2004,99
I Go Back,When The Sun Goes Down,"['contemporary country', 'country road', 'country']",2004,100
We Belong Together,The Emancipation of Mimi,"['urban contemporary', 'dance pop', 'pop']",2005,1
Hollaback Girl,Love Angel Music Baby (Deluxe Version),"['dance pop', 'pop']",2005,2
Let Me Love You,Let Me Love You,"['southern hip hop', 'dance pop', 'urban contemporary', 'r&b']",2005,3
Since U Been Gone,Breakaway,"['talent show', 'dance pop', 'pop']",2005,4
"1, 2 Step (feat. Missy Elliott) - Don Candiani Reggaeton Mix",DVD Bonus Audio (from Goodies. The Videos and More!),"['hip pop', 'dance pop', 'urban contemporary', 'rap', 'virginia hip hop', 'pop', 'hip hop', 'neo soul', 'pop rap', 'r&b']",2005,5
Gold Digger,Late Registration,"['hip pop', 'southern hip hop', 'urban contemporary', 'rap', 'trap', 'chicago rap', 'contemporary r&b', 'hip hop', 'r&b']",2005,6
Boulevard of Broken Dreams,Greatest Hits: God's Favorite Band,"['punk', 'modern rock', 'permanent wave', 'rock']",2005,7
Candy Shop,The Massacre,"['gangster rap', 'queens hip hop', 'east coast hip hop', 'rap', 'hip hop', 'pop rap']",2005,8
Don't Cha,PCD,"['dance pop', 'east coast hip hop', 'girl group', 'hardcore hip hop', 'rap', 'pop', 'hip hop', 'pop rap']",2005,9
Behind These Hazel Eyes,Breakaway,"['talent show', 'dance pop', 'pop']",2005,10
Disco Inferno,The Massacre,"['gangster rap', 'queens hip hop', 'east coast hip hop', 'rap', 'hip hop', 'pop rap']",2005,11
You And Me,Lifehouse,"['neo mellow', 'pop rock', 'post-grunge']",2005,12
Lose Control (feat. Ciara & Fat Man Scoop),The Cookbook,"['hip pop', 'dance pop', 'nyc rap', 'urban contemporary', 'rap', 'virginia hip hop', 'pop', 'hip hop', 'neo soul', 'pop rap', 'r&b']",2005,14
Shake It Off,The Emancipation of Mimi,"['urban contemporary', 'dance pop', 'pop']",2005,15
Mr. Brightside,Hot Fuss,"['alternative rock', 'permanent wave', 'dance rock', 'rock', 'modern rock']",2005,16
Just A Lil Bit,The Massacre,"['gangster rap', 'queens hip hop', 'east coast hip hop', 'rap', 'hip hop', 'pop rap']",2005,17
Pon de Replay,Music Of The Sun,"['urban contemporary', 'barbadian pop', 'pop']",2005,18
How We Do (As Made Famous By The Game Featuring. 50 Cent),Drew's Famous # 1 Karaoke Hits: Men of R&B Vol. 2,['karaoke'],2005,19
Beverly Hills,Make Believe,"['alternative rock', 'permanent wave', 'modern power pop', 'rock', 'modern rock']",2005,20
Oh (feat. Ludacris),Goodies,"['hip pop', 'dance pop', 'southern hip hop', 'urban contemporary', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'pop', 'atl hip hop', 'hip hop', 'pop rap', 'r&b']",2005,21
Lonely No More,Something to Be,"['neo mellow', 'pop rock', 'post-grunge']",2005,22
Drop It Like It's Hot,R&G (Rhythm & Gangsta): The Masterpiece,"['gangster rap', 'dance pop', 'rap', 'west coast rap', 'pop', 'g funk', 'hip hop', 'pop rap']",2005,23
Hate It Or Love It,The Documentary,"['gangster rap', 'southern hip hop', 'queens hip hop', 'east coast hip hop', 'rap', 'trap', 'hip hop', 'pop rap']",2005,24
Lovers And Friends,Crunk Juice,"['southern hip hop', 'dance pop', 'crunk', 'urban contemporary', 'south carolina hip hop', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'pop', 'atl hip hop', 'contemporary r&b', 'hip hop', 'atlanta bass', 'pop rap', 'r&b']",2005,25
Soldier (feat. T.I. & Lil' Wayne),Destiny Fulfilled,"['gangster rap', 'southern hip hop', 'dance pop', 'urban contemporary', 'girl group', 'rap', 'dirty south rap', 'new orleans rap', 'trap', 'pop', 'atl hip hop', 'hip hop', 'pop rap', 'r&b']",2005,26
Breakaway,Breakaway,"['talent show', 'dance pop', 'pop']",2005,27
Switch,Lost And Found,"['hip hop', 'pop rap']",2005,28
Let Me Hold You (feat. Omarion),Wanted,"['hip pop', 'dance pop', 'southern hip hop', 'urban contemporary', 'rap', 'dirty south rap', 'trap', 'pop rap', 'r&b']",2005,29
Like You (feat. Ciara),"R&B - 100 Hits - The Greatest R n B album - 100 R & B Classics featuring Usher, Pitbull and Justin Timberlake","['hip pop', 'dance pop', 'southern hip hop', 'urban contemporary', 'rap', 'dirty south rap', 'trap', 'pop', 'pop rap', 'r&b']",2005,30
Rich Girl,Bigger Than Both Of Us,"['soft rock', 'album rock', 'heartland rock', 'yacht rock', 'singer-songwriter', 'classic rock', 'rock', 'mellow gold']",2005,31
Obsesion (No Es Amor) (feat. Baby Bash),The One,"['hip pop', 'southern hip hop', 'latin hip hop', 'urban contemporary', 'texas latin rap', 'chicano rap', 'pop rap']",2005,33
Caught Up,Confessions (Expanded Edition),"['dance pop', 'urban contemporary', 'south carolina hip hop', 'rap', 'pop', 'atl hip hop', 'contemporary r&b', 'r&b']",2005,34
Listen To Your Heart,Look Sharp!,"['swedish pop', 'europop']",2005,35
Scars,Getting Away With Murder,"['nu metal', 'alternative metal', 'rock', 'rap metal', 'rap rock']",2005,36
Feel Good Inc.,Demon Days,"['alternative hip hop', 'modern rock', 'rock']",2005,37
Let Me Go,The Greatest Hits,"['post-grunge', 'alternative metal', 'rock', 'nu metal']",2005,38
Holiday,Greatest Hits: God's Favorite Band,"['punk', 'modern rock', 'permanent wave', 'rock']",2005,39
"Sugar, We're Goin Down",From Under The Cork Tree,"['pop punk', 'emo', 'rock', 'pop', 'modern rock']",2005,40
Grind With Me,Bluestars,"['hip pop', 'southern hip hop', 'miami hip hop', 'urban contemporary', 'dirty south rap', 'trap', 'r&b']",2005,41
Run It! (feat. Juelz Santana),Chris Brown (Expanded Edition),"['gangster rap', 'nyc rap', 'rap', 'trap', 'harlem hip hop', 'pop rap', 'r&b']",2005,42
Photograph,All the Right Reasons,"['post-grunge', 'alternative metal', 'canadian rock']",2005,43
Lonely,Trouble,['dance pop'],2005,44
Collide,Stop All The World Now,"['neo mellow', 'acoustic pop', 'pop rock']",2005,45
Wake Me up When September Ends,American Idiot,"['punk', 'modern rock', 'permanent wave', 'rock']",2005,46
"Slow Down - 12"" Version",Disturbing Tha Peace Presents Bobby Valentino,"['hip pop', 'southern hip hop', 'urban contemporary', 'dirty south rap', 'contemporary r&b', 'r&b']",2005,47
Over And Over,Suit,"['gangster rap', 'dance pop', 'country road', 'urban contemporary', 'st louis rap', 'rap', 'contemporary country', 'country', 'hip hop', 'pop rap']",2005,48
Some Cut - Chopped & Screwed; feat. Cutty,Some Cut - From King Of Crunk/Chopped & Screwed,"['chopped and screwed', 'houston rap']",2005,49
Get It Poppin' (feat. Nelly) - Serban Main 4/20/05,All Or Nothing,"['gangster rap', 'dance pop', 'urban contemporary', 'st louis rap', 'east coast hip hop', 'hardcore hip hop', 'rap', 'dirty south rap', 'trap', 'bronx hip hop', 'hip hop', 'pop rap']",2005,50
Play,Certified,"['southern hip hop', 'crunk', 'mississippi hip hop', 'dirty south rap', 'conscious hip hop']",2005,51
Soul Survivor,Let's Get It: Thug Motivation 101,"['gangster rap', 'southern hip hop', 'dance pop', 'crunk', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'atl hip hop']",2005,52
Pimpin' All Over The World,The Red Light District,"['southern hip hop', 'dance pop', 'hip pop', 'urban contemporary', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'atl hip hop', 'contemporary r&b', 'hip hop', 'pop rap', 'r&b']",2005,53
My Boo - Hitman's Club Mix,My Boo (Hitman's Club Mix),['atlanta bass'],2005,54
Sugar (Gimme Some) [feat. Cee-Lo & Ludacris],Thug Matrimony: Married to the Streets,"['southern hip hop', 'dance pop', 'miami hip hop', 'crunk', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'atl hip hop', 'hip hop', 'pop rap']",2005,55
Karma (Live From Allianz Parque Sao Paulo Brazil),Inesquecivel Sao Paulo Brazil (Live From Allianz Parque Sao Paulo Brazil),"['neo soul', 'pop', 'r&b']",2005,56
Speed of Sound,X&Y,"['permanent wave', 'pop']",2005,57
I Don't Want to Be,Chariot,"['neo mellow', 'pop rock']",2005,58
Mockingbird,Encore (Deluxe Version),"['hip hop', 'rap', 'detroit hip hop']",2005,59
La Tortura (feat. Alejandro Sanz),"Fijación Oral, Vol. 1","['dance pop', 'cantautor', 'colombian pop', 'latin arena pop', 'pop', 'mexican pop', 'latin pop']",2005,60
She Will Be Loved - Radio Mix,Songs About Jane: 10th Anniversary Edition,['pop'],2005,61
"Baby, I'm Back",Super Saucy,"['southern hip hop', 'dance pop', 'latin hip hop', 'texas latin rap', 'urban contemporary', 'chicano rap', 'pop rap']",2005,62
Wait (The Whisper Song),U.S.A. (United State of Atlanta),"['southern hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'atl hip hop']",2005,63
Incomplete,Never Gone,"['dance pop', 'boy band', 'pop']",2005,64
Bring Em Out,Urban Legend,"['gangster rap', 'southern hip hop', 'rap', 'dirty south rap', 'trap', 'atl hip hop', 'hip hop', 'pop rap']",2005,65
Cater 2 U,Destiny Fulfilled,"['dance pop', 'urban contemporary', 'girl group', 'pop', 'r&b']",2005,66
1 Thing,Touch,"['hip pop', 'urban contemporary', 'contemporary r&b', 'neo soul', 'r&b']",2005,67
Best of You,In Your Honor,"['post-grunge', 'alternative metal', 'alternative rock', 'permanent wave', 'rock', 'modern rock']",2005,68
It's Like That,The Emancipation of Mimi,"['hip pop', 'dance pop', 'southern hip hop', 'nyc rap', 'urban contemporary', 'dirty south rap', 'pop', 'atl hip hop', 'contemporary r&b', 'r&b']",2005,69
Inside Your Heaven (Bonus Track),Some Hearts,"['country dawn', 'dance pop', 'contemporary country', 'classic oklahoma country', 'country']",2005,71
Because of You,Breakaway,"['talent show', 'dance pop', 'pop']",2005,72
Truth Is,Free Yourself,"['hip pop', 'urban contemporary', 'contemporary r&b', 'neo soul', 'r&b']",2005,73
Your Body,Bluestars,"['hip pop', 'southern hip hop', 'miami hip hop', 'urban contemporary', 'dirty south rap', 'trap', 'r&b']",2005,74
Beautiful Soul,Beautiful Soul,"['post-teen pop', 'dance pop', 'pop']",2005,75
Cool,Love Angel Music Baby (Deluxe Version),"['dance pop', 'pop']",2005,76
Get Back,The Red Light District,"['southern hip hop', 'dance pop', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'atl hip hop', 'hip hop', 'pop rap']",2005,77
Outta Control - Remix,Outta Control (Remix),"['gangster rap', 'queens hip hop', 'east coast hip hop', 'hardcore hip hop', 'rap', 'hip hop', 'pop rap']",2005,78
U Don't Know Me,Urban Legend,"['gangster rap', 'southern hip hop', 'rap', 'dirty south rap', 'trap', 'atl hip hop', 'hip hop', 'pop rap']",2005,79
Get Right,Rebirth,"['urban contemporary', 'dance pop', 'pop']",2005,82
Daughters,Heavier Things,"['neo mellow', 'singer-songwriter']",2005,83
As Good As I Once Was,Honkytonk University,"['contemporary country', 'classic oklahoma country', 'country', 'country road']",2005,84
Girlfight - radio edit feat. Big Boi & Lil Jon,Girlfight,"['hip pop', 'dance pop', 'southern hip hop', 'crunk', 'urban contemporary', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'atl hip hop', 'pop rap', 'hip hop', 'r&b']",2005,85
Lose My Breath,Destiny Fulfilled,"['dance pop', 'urban contemporary', 'girl group', 'pop', 'r&b']",2005,86
Ordinary People,Get Lifted,"['urban contemporary', 'pop soul', 'neo soul', 'pop']",2005,87
We Be Burnin',The Trinity,"['dance pop', 'pop rap', 'pop', 'dancehall']",2005,88
Just the Girl,Greetings From Imrie House (U.S. Version),"['pop punk', 'pixie', 'boy band', 'neon pop punk']",2005,89
TRUE,Take It All Away (U.S. Version),"['idol', 'neo mellow']",2005,90
O,O,"['hip pop', 'dance pop', 'southern hip hop', 'urban contemporary', 'rap', 'trap', 'r&b']",2005,91
Back Then,Who Is Mike Jones?,['dirty south rap'],2005,92
Numb / Encore,Hip Hop & Basketball,"['gangster rap', 'nu metal', 'east coast hip hop', 'alternative metal', 'post-grunge', 'rap', 'rock', 'rap metal', 'hip hop', 'pop rap']",2005,93
Mesmerize,The Last Temptation,"['gangster rap', 'hip pop', 'dance pop', 'urban contemporary', 'queens hip hop', 'east coast hip hop', 'rap', 'hip hop', 'pop rap', 'r&b']",2005,94
I'm Sprung,Rappa Ternt Sanga (Expanded Edition),"['gangster rap', 'southern hip hop', 'dance pop', 'urban contemporary', 'rap', 'trap', 'hip hop', 'pop rap', 'r&b']",2005,95
Chariot,Chariot,"['neo mellow', 'pop rock']",2005,96
U Already Know,Pleasure & Pain,"['urban contemporary', 'boy band', 'atl hip hop', 'contemporary r&b', 'r&b']",2005,97
Mississippi Girl,Fireflies,"['country dawn', 'contemporary country', 'country road', 'country']",2005,98
Number One Spot,The Red Light District,"['southern hip hop', 'dance pop', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'atl hip hop', 'hip hop', 'pop rap']",2005,99
Give Me That,Gangsta Musik,"['baton rouge rap', 'southern hip hop', 'crunk', 'memphis hip hop', 'houston rap', 'dirty south rap', 'trap']",2005,100
Bad Day,Daniel Powter,"['neo mellow', 'pop rock', 'canadian pop']",2006,1
Temperature,The Trinity,"['dance pop', 'pop rap', 'pop', 'dancehall']",2006,2
Promiscuous,Loose,"['dance pop', 'canadian latin', 'pop', 'canadian pop', 'pop rap']",2006,3
You’re Beautiful,99 From the Noughties,['neo mellow'],2006,4
Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)","['dance pop', 'rap kreyol', 'colombian pop', 'pop', 'latin pop']",2006,5
Unwritten,Unwritten,"['post-teen pop', 'dance pop', 'pop']",2006,6
Crazy,St. Elsewhere,"['atl hip hop', 'neo soul']",2006,7
Ridin',The Sound of Revenge,"['gangster rap', 'southern hip hop', 'ohio hip hop', 'dirty south rap']",2006,8
SexyBack (feat. Timbaland),FutureSex/LoveSounds,"['dance pop', 'pop rap', 'pop']",2006,9
Check On It (feat. Bun B & Slim Thug),B'Day,"['crunk', 'houston rap', 'dirty south rap', 'pop', 'r&b']",2006,10
Be Without You - Kendu Mix,The Breakthrough,"['dance pop', 'neo soul', 'urban contemporary', 'r&b']",2006,11
Grillz,Still Hot In Herre,"['gangster rap', 'chopped and screwed', 'dance pop', 'crunk', 'urban contemporary', 'st louis rap', 'rap', 'houston rap', 'dirty south rap', 'hip hop', 'pop rap']",2006,12
Over My Head (Cable Car),How To Save A Life,"['neo mellow', 'pop rock', 'piano rock', 'pop']",2006,13
Me & U,Cassie (U.S. Version),"['hip pop', 'dance pop', 'urban contemporary', 'pop rap', 'r&b']",2006,14
Buttons - Featuring Big Snoop Dogg,Buttons,"['gangster rap', 'dance pop', 'girl group', 'rap', 'west coast rap', 'pop', 'g funk', 'hip hop', 'pop rap']",2006,15
Run It! (feat. Juelz Santana),Chris Brown (Expanded Edition),"['gangster rap', 'nyc rap', 'rap', 'trap', 'harlem hip hop', 'pop rap', 'r&b']",2006,16
So Sick,In My Own Words,"['urban contemporary', 'dance pop', 'pop', 'r&b']",2006,17
It's Goin' Down (feat. Nitti),New Joc City,"['southern hip hop', 'crunk', 'dirty south rap', 'trap', 'atl hip hop']",2006,18
SOS,A Girl Like Me,"['urban contemporary', 'barbadian pop', 'pop']",2006,19
I Write Sins Not Tragedies,A Fever You Can't Sweat Out,['pop'],2006,20
Move Along,Move Along,"['neo mellow', 'pop punk', 'alternative metal', 'post-grunge', 'neon pop punk', 'pop rock', 'modern rock']",2006,21
London Bridge,The Dutchess,"['dance pop', 'pop']",2006,22
Dani California,Stadium Arcadium,"['alternative rock', 'permanent wave', 'funk rock', 'rock', 'funk metal']",2006,23
Snap Yo Fingers,Snap Yo Fingers - Single,"['gangster rap', 'southern hip hop', 'dance pop', 'cali rap', 'crunk', 'dirty south rap', 'trap', 'west coast rap', 'old school atlanta hip hop', 'oakland hip hop', 'atl hip hop', 'pop rap', 'hyphy']",2006,24
"Lean Wit It, Rock Wit It",On Top Of Our Game,"['atl hip hop', 'southern hip hop', 'crunk', 'dirty south rap']",2006,25
What Hurts The Most,Me And My Gang,"['contemporary country', 'country road', 'country']",2006,26
How to Save a Life,How To Save A Life,"['neo mellow', 'pop rock', 'piano rock', 'pop']",2006,27
Unfaithful,A Girl Like Me,"['urban contemporary', 'barbadian pop', 'pop']",2006,28
Chasing Cars,Eyes Open,"['irish rock', 'neo mellow', 'permanent wave', 'pop rock', 'modern rock']",2006,29
Lips Of An Angel,Extreme Behavior,"['post-grunge', 'alternative metal', 'nu metal']",2006,30
Everytime We Touch,Everytime We Touch (Premium Edition),"['melbourne bounce international', 'german techno', 'eurodance', 'europop']",2006,31
"Dance, Dance",From Under The Cork Tree,"['pop punk', 'emo', 'rock', 'pop', 'modern rock']",2006,33
Gold Digger,Late Registration,"['hip pop', 'southern hip hop', 'urban contemporary', 'rap', 'trap', 'chicago rap', 'contemporary r&b', 'hip hop', 'r&b']",2006,34
Money Maker,Release Therapy,"['southern hip hop', 'dance pop', 'rap', 'dirty south rap', 'trap', 'old school atlanta hip hop', 'pop', 'atl hip hop', 'hip hop', 'pop rap']",2006,35
Ms. New Booty,Ms. New Booty,"['southern hip hop', 'crunk', 'redneck', 'dirty south rap', 'country rap', 'old school atlanta hip hop', 'atl hip hop', 'atlanta bass']",2006,36
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,Only Hits,"['hip pop', 'dance pop', 'urban contemporary', 'dancehall', 'pop', 'pop rap', 'r&b']",2006,37
Photograph,All the Right Reasons,"['post-grunge', 'alternative metal', 'canadian rock']",2006,38
Because of You,Breakaway,"['talent show', 'dance pop', 'pop']",2006,39
Stickwitu,PCD,"['girl group', 'dance pop', 'pop']",2006,40
I'm N Luv (Wit a Stripper) (feat. Mike Jones),Rappa Ternt Sanga (Expanded Edition),"['gangster rap', 'southern hip hop', 'dance pop', 'urban contemporary', 'rap', 'dirty south rap', 'trap', 'hip hop', 'pop rap', 'r&b']",2006,41
Where'd You Go (feat. Holly Brook & Jonah Matranga),The Rising Tied,"['rap rock', 'lilith']",2006,43
Yo (Excuse Me Miss),Chris Brown (Expanded Edition),"['rap', 'r&b']",2006,44
Walk Away,Breakaway,"['talent show', 'dance pop', 'pop']",2006,45
Laffy Taffy,Down for Life,"['southern hip hop', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'atl hip hop']",2006,46
What You Know,King,"['gangster rap', 'southern hip hop', 'rap', 'dirty south rap', 'trap', 'atl hip hop', 'hip hop', 'pop rap']",2006,47
Dirty Little Secret,Move Along,"['neo mellow', 'pop punk', 'alternative metal', 'post-grunge', 'neon pop punk', 'pop rock', 'modern rock']",2006,48
